time,open,high,low,close
2022-08-02T22:30:00+03:00,4104.369,4110.359,4090.239,4091.191
2022-08-03T16:30:00+03:00,4107.96,4135.33,4107.96,4127.179
2022-08-03T17:30:00+03:00,4126.499,4138.13,4113.321,4135.791
2022-08-03T18:30:00+03:00,4135.731,4145.88,4134.069,4142.949
2022-08-03T19:30:00+03:00,4142.971,4158.4,4142.711,4157.111
2022-08-03T20:30:00+03:00,4157.141,4162.97,4152.819,4160.339
2022-08-03T21:30:00+03:00,4160.311,4164.15,4155.199,4159.299
2022-08-03T22:30:00+03:00,4159.281,4167.66,4153.721,4155.171
2022-08-04T16:30:00+03:00,4154.85,4161.29,4143.83,4146.179
2022-08-04T17:30:00+03:00,4145.951,4153.251,4135.42,4143.839
2022-08-04T18:30:00+03:00,4143.891,4156.881,4138.839,4156.589
2022-08-04T19:30:00+03:00,4156.621,4156.689,4141.769,4153.909
2022-08-04T20:30:00+03:00,4153.449,4157.179,4147.211,4152.729
2022-08-04T21:30:00+03:00,4152.741,4160.631,4147.199,4157.079
2022-08-04T22:30:00+03:00,4157.121,4157.159,4146.951,4151.939
2022-08-05T16:30:00+03:00,4107.35,4151.58,4107.31,4144.349
2022-08-05T17:30:00+03:00,4144.411,4145.401,4112.329,4112.329
2022-08-05T18:30:00+03:00,4112.251,4128.719,4111.491,4126.549
2022-08-05T19:30:00+03:00,4126.591,4143.719,4120.631,4137.779
2022-08-05T20:30:00+03:00,4137.741,4144.411,4126.879,4126.879
2022-08-05T21:30:00+03:00,4126.789,4135.781,4124.929,4135.179
2022-08-05T22:30:00+03:00,4135.151,4146.799,4134.271,4145.191
2022-08-08T16:30:00+03:00,4160.4,4186.62,4160.14,4177.36
2022-08-08T17:30:00+03:00,4177.33,4183.1,4166.11,4166.91
2022-08-08T18:30:00+03:00,4166.97,4169.49,4135.6,4138.21
2022-08-08T19:30:00+03:00,4138.05,4151.92,4134.37,4142.25
2022-08-08T20:30:00+03:00,4142.2,4150.05,4135.63,4138.22
2022-08-08T21:30:00+03:00,4138.19,4140.67,4128.97,4138.51
2022-08-08T22:30:00+03:00,4138.39,4143.75,4134.8,4140.05
2022-08-09T16:30:00+03:00,4133.11,4137.3,4117.43,4126.23
2022-08-09T17:30:00+03:00,4126.28,4132.49,4113.82,4129.05
2022-08-09T18:30:00+03:00,4129.04,4129.84,4114.74,4115.35
2022-08-09T19:30:00+03:00,4115.33,4122.4,4114.14,4121.48
2022-08-09T20:30:00+03:00,4121.45,4124.98,4112.09,4113.03
2022-08-09T21:30:00+03:00,4113.02,4126.74,4112.2,4124.48
2022-08-09T22:30:00+03:00,4124.58,4125.93,4117.84,4122.48
2022-08-10T16:30:00+03:00,4192.14,4198.49,4177.26,4186.86
2022-08-10T17:30:00+03:00,4186.42,4210.28,4185.55,4202.75
2022-08-10T18:30:00+03:00,4202.9,4207.57,4193.46,4197.57
2022-08-10T19:30:00+03:00,4197.65,4204.45,4197.12,4200.34
2022-08-10T20:30:00+03:00,4200.3,4207.57,4197.47,4201.01
2022-08-10T21:30:00+03:00,4201.05,4204.02,4193.7,4203.63
2022-08-10T22:30:00+03:00,4203.6,4211.03,4201.75,4210.23
2022-08-11T16:30:00+03:00,4235.79,4257.91,4231.76,4248.42
2022-08-11T17:30:00+03:00,4248.36,4255.75,4222.62,4230.9
2022-08-11T18:30:00+03:00,4230.9,4233.13,4220.19,4228.72
2022-08-11T19:30:00+03:00,4228.81,4238.35,4228.13,4233.37
2022-08-11T20:30:00+03:00,4233.31,4234.74,4217.04,4220.88
2022-08-11T21:30:00+03:00,4220.89,4221.07,4201.41,4208.28
2022-08-11T22:30:00+03:00,4208.34,4212.09,4201.83,4207.28
2022-08-12T16:30:00+03:00,4225.02,4237.24,4219.78,4233.14
